URL,Script Category,Leaf Breadcrumb
https://www.amazon.com/s/ref=sr_hi_6?rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679286011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT%7CA2I0YKRFYX9813%7CAG670YE9WDQRF%7CA1LEM297LNF1FK%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L%7CA2BMBHD2OU3XDU%7CAU8KF031TC39C%7CA3SNLLVFZ6ABAC%7CA3VX72MEBB21JI%7CAUN61RNUNKNVG%7CA1BNXE6U3W2NOH%7CAM3NWFGAU67D%7CA2WOPAGVJGO3RL%7CA3NWHXTQ4EBCZS%7CA1UG884EF99PVQ%7CA15MDCTZU8FRDU%7CA2XDG44YY9CCCX%7CA5592GM03C9YR%7CA1YT150G3ARUNS%7CAL551XTSRGEN3&bbn=679286011&ie=UTF8&qid=1501746466,Men's Running Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Running : 9 sellers"
https://www.amazon.com/s/ref=sr_hi_6?rh=n%3A7141123011%2Cn%3A7147443011%2Cn%3A679182011%2Cn%3A6127768011%2Cn%3A3420550011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA3NWHXTQ4EBCZS%7CA1LEM297LNF1FK%7CA38MYE29B8LFRT%7CA7ULJO7NAWM0L%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5%7CA2BMBHD2OU3XDU%7CAU8KF031TC39C%7CA3SNLLVFZ6ABAC%7CA3VX72MEBB21JI%7CAUN61RNUNKNVG%7CA1BNXE6U3W2NOH%7CAM3NWFGAU67D%7CA1UG884EF99PVQ%7CA15MDCTZU8FRDU%7CA2XDG44YY9CCCX%7CA5592GM03C9YR%7CA1YT150G3ARUNS&bbn=3420550011&ie=UTF8&qid=1501747590,Men's Running Shoes,"Clothing, Shoes & Jewelry : Boys : Shoes : Athletic : Running : 8 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_7?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679399011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679399011&ie=UTF8&qid=1497968201&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Flats : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679404011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679404011&ie=UTF8&qid=1497968265&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Loafers & Slip-Ons : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_6?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679394011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679394011&ie=UTF8&qid=1497968333&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Fashion Sneakers : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_2?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679415011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679415011&ie=UTF8&qid=1497968385&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Oxfords : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679410011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679410011&ie=UTF8&qid=1497968436&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Mules & Clogs : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679433011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679433011&ie=UTF8&qid=1497968493&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Slippers : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_10?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679380011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679380011&ie=UTF8&qid=1497968581&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Boots : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_15?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679425011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679425011&ie=UTF8&qid=1497968639&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Sandals : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_7?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A679416011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679416011&ie=UTF8&qid=1497968710&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Pumps : 3 sellers"
https://www.amazon.com/s/ref=sr_in_Z_p_6_8?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127767011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=6127767011&ie=UTF8&qid=1497968771&rnid=2661622011,Women's Fashion Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Outdoor : 3 sellers"
