URL,Script Category,Leaf Breadcrumb,,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_2?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127770011%2Cn%3A679286011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA3NWHXTQ4EBCZS%7CA38MYE29B8LFRT%7CA2I0YKRFYX9813%7CAG670YE9WDQRF%7CA1LEM297LNF1FK%7CA7QKSDTF5TXF5%7CA7ULJO7NAWM0L&bbn=679286011&ie=UTF8&qid=1497965871&rnid=2661622011,Men's Running Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Athletic : Running : 9 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_R_p_6_16?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147443011%2Cn%3A679182011%2Cn%3A6127768011%2Cn%3A3420550011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA3NWHXTQ4EBCZS%7CA1LEM297LNF1FK%7CA38MYE29B8LFRT%7CA7ULJO7NAWM0L%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5&bbn=3420550011&ie=UTF8&qid=1497966159&rnid=2661622011,Men's Running Shoes,"Clothing, Shoes & Jewelry : Boys : Shoes : Athletic : Running : 8 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_nr_p_6_9?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147440011%2Cn%3A679337011%2Cn%3A6127771011%2Cn%3A679360011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA7ULJO7NAWM0L%7CA3NWHXTQ4EBCZS%7CA38MYE29B8LFRT%7CA7QKSDTF5TXF5%7CAG670YE9WDQRF%7CA2I0YKRFYX9813%7CA1LEM297LNF1FK&bbn=679360011&ie=UTF8&qid=1497966269&rnid=2661622011,Women's Running Shoes,"Clothing, Shoes & Jewelry : Women : Shoes : Athletic : Running : 9 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_R_p_6_15?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147442011%2Cn%3A679217011%2Cn%3A6127769011%2Cn%3A3420821011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA1LEM297LNF1FK%7CA38MYE29B8LFRT%7CA7ULJO7NAWM0L%7CA2I0YKRFYX9813%7CA3NWHXTQ4EBCZS%7CAG670YE9WDQRF%7CA7QKSDTF5TXF5&bbn=3420821011&ie=UTF8&qid=1497966529&rnid=2661622011,Women's Running Shoes,"Clothing, Shoes & Jewelry : Girls : Shoes : Athletic : Running : 9 sellers",,,,,,Men's Fashion Shoes,
https://www.amazon.com/s/ref=sr_in_Z_p_6_7?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679307011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679307011&ie=UTF8&qid=1497967632&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Boots : 3 sellers",,,,,,Men's Running Shoes,
https://www.amazon.com/s/ref=sr_in_Z_p_6_8?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A6127766011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=6127766011&ie=UTF8&qid=1497967697&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Outdoor : 3 sellers",,,,,,Other Sports Shoes,
https://www.amazon.com/s/ref=sr_in_Z_p_6_5?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679313011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679313011&ie=UTF8&qid=1497967749&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Loafers & Slip-Ons : 3 sellers",,,,,,Women's Fashion Shoes,
https://www.amazon.com/s/ref=sr_in_Z_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679320011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679320011&ie=UTF8&qid=1497967805&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Sandals : 3 sellers",,,,,,Women's Running Shoes,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679312011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679312011&ie=UTF8&qid=1497967871&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Fashion Sneakers : 3 sellers",,,,,,Sports Equipment,
https://www.amazon.com/s/ref=sr_in_Z_p_6_4?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679324011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679324011&ie=UTF8&qid=1497967944&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Slippers : 3 sellers",,,,,,,
https://www.amazon.com/s/ref=sr_in_Z_p_6_3?fst=as%3Aoff&rh=n%3A7141123011%2Cn%3A7147441011%2Cn%3A679255011%2Cn%3A679334011%2Cp_6%3AATVPDKIKX0DER%7CAH1YFAUS3NHX2%7CA38MYE29B8LFRT&bbn=679334011&ie=UTF8&qid=1497968003&rnid=2661622011,Men's Fashion Shoes,"Clothing, Shoes & Jewelry : Men : Shoes : Work & Safety : 3 sellers",,,,,,,
