seller_name,category_name
Amazon.com,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
"Zappos Retail, Inc.","MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
OutdoorEquipped,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Road Runner Sports,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
RevUp Sports com,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Running Warehouse,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Zappos.com,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
ShoeMall,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
SHOEBACCA,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
"6pm, LLC","MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Backcountry,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
BikeSomeWhere,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
HDO Sport,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Orthotic Shop,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Peltz Shoes,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Road Runner Sports ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
RuzeShoes ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Sheplers ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Shoe Station,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
ShoeMetro ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
shoezoo,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Shopping Blitz,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
SneakerBoy ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
The Western Company ,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Thekickshop,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Woodbury Outfitters,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Amazon.com,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
"Zappos Retail, Inc.","MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
OutdoorEquipped,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
Road Runner Sports,"MNSRUNSHOE, WMNFSHSHOE, MNFSHSHOE, OTHSPRTSSHOE, WMNRUNSHOE"
